,Gene1,Gene2,Keywords,Direct dependency relations,INO Type,INO ID,Num. Keywords,Sentence
89,sigmaD,degR,"driven, transcription","amod(transcription, sigmaD-driven)",positive regulation of gene transcription,INO_0000049,2,"From these results we conclude that ComK negatively regulates degR expression by preventing [PROTEIN1] sigmaD [/PROTEIN1]-driven transcription of [PROTEIN2] degR [/PROTEIN2], possibly through interaction with the control region."
90,sigmaD,degR,"transcription, driven","nsubjpass(driven,transcription)",positive regulation of gene transcription,INO_0000049,2,"We have shown previously that the transcription of [PROTEIN2] degR [/PROTEIN2] is driven by an alternative sigma factor, [PROTEIN1] sigmaD [/PROTEIN1]."
91,SpoIIID,cotC,binds,ONE WORD,direct interaction,MI_0407,1,"DNase I footprinting showed that [PROTEIN1] SpoIIID [/PROTEIN1] binds strongly to two sites in the [PROTEIN2] cotC [/PROTEIN2] promoter region, binds weakly to one site in the cotX promoter, and does not bind specifically to cotB."
92,SpoIIID,cotX,binds,ONE WORD,direct interaction,MI_0407,1,"DNase I footprinting showed that [PROTEIN1] SpoIIID [/PROTEIN1] binds strongly to two sites in the cotC promoter region, binds weakly to one site in the [PROTEIN2] cotX [/PROTEIN2] promoter, and does not bind specifically to cotB."
93,SpoIIID,cotB,bind,ONE WORD,direct interaction,MI_0407,1,"DNase I footprinting showed that [PROTEIN1] SpoIIID [/PROTEIN1] binds strongly to two sites in the cotC promoter region, binds weakly to one site in the cotX promoter, and does not bind specifically to [PROTEIN2] cotB [/PROTEIN2]."
94,sigma(K),cotB,transcription,ONE WORD,gene transcription,INO_0000173,1,"Transcription of the [PROTEIN1] cotB [/PROTEIN1], cotC, and cotX genes by final [PROTEIN2] sigma(K) [/PROTEIN2] RNA polymerase is activated by a small, DNA-binding protein called GerE."
96,sigma(K),cotX,transcription,ONE WORD,gene transcription,INO_0000173,1,"Transcription of the cotB, cotC, and [PROTEIN1] cotX [/PROTEIN1] genes by final [PROTEIN2] sigma(K) [/PROTEIN2] RNA polymerase is activated by a small, DNA-binding protein called GerE."
97,GerE,cotB,"transcription, activated","nsubjpass(activated,transcription)",activation of gene transcription,INO_0000051,2,"Transcription of the [PROTEIN2] cotB [/PROTEIN2], cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called [PROTEIN1] GerE [/PROTEIN1]."
98,GerE,cotC,"transcription ,activated","nsubjpass(activated,transcription)",activation of gene transcription,INO_0000051,2,"Transcription of the cotB, [PROTEIN2] cotC [/PROTEIN2], and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called [PROTEIN1] GerE [/PROTEIN1]."
99,GerE,cotX,"transcription, activated","nsubjpass(activated,transcription)",activation of gene transcription,INO_0000051,2,"Transcription of the cotB, cotC, and [PROTEIN2] cotX [/PROTEIN2] genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called [PROTEIN1] GerE [/PROTEIN1]."
100,GerE,cot,"gene expression, action",-1,gene expression regulation,INO_0000044,2,"In vitro transcription experiments suggest that the differential pattern of [PROTEIN2] cot [/PROTEIN2] gene expression results from the combined action of [PROTEIN1] GerE [/PROTEIN1] and another transcription factor, SpoIIID."
102,GerE,sigma(K),"low concentration, activated, transcription",MORE THAN TWO KEYWORDS,regulation of transcription,INO_0000032,3,"A low concentration of [PROTEIN1] GerE [/PROTEIN1] activated cotB transcription by final [PROTEIN2] sigma(K) [/PROTEIN2] RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC."
103,GerE,cotB,"low concentration, activated, transcription",MORE THAN TWO KEYWORDS,activation of gene transcription by low level protein,INO_0000052,3,"A low concentration of [PROTEIN1] GerE [/PROTEIN1] activated [PROTEIN2] cotB [/PROTEIN2] transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC."
104,GerE,cotX,"activate, transcription","amod(transcription, activate)",activation of gene transcription,INO_0000051,2,"A low concentration of [PROTEIN1] GerE [/PROTEIN1] activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of [PROTEIN2] cotX [/PROTEIN2] or cotC."
106,sigma(K),cotB,"activated, transcription","dobj(activated,transcription)",activation of gene transcription,INO_0000051,2,"A low concentration of GerE activated [PROTEIN2] cotB [/PROTEIN2] transcription by final [PROTEIN1] sigma(K) [/PROTEIN1] RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC."
107,SpoIIID,cotC,"repressed, transcription","dobj(repressed,transcription)",inhibition of gene transcription,INO_0000046,2,"[PROTEIN1] SpoIIID [/PROTEIN1] at low concentration repressed [PROTEIN2] cotC [/PROTEIN2] transcription, whereas a higher concentration only partially repressed cotX transcription and had little effect on cotB transcription."
108,SpoIIID,cotX,"repressed, transcription","dobj(repressed,transcription)",inhibition of gene transcription,INO_0000046,2,"[PROTEIN1] SpoIIID [/PROTEIN1] at low concentration repressed cotC transcription, whereas a higher concentration only partially repressed [PROTEIN2] cotX [/PROTEIN2] transcription and had little effect on cotB transcription."
109,SpoIIID,cotB,"repressed, transcription","dobj(repressed,transcription)",inhibition of gene transcription,INO_0000046,2,"[PROTEIN1] SpoIIID [/PROTEIN1] at low concentration repressed cotC transcription, whereas a higher concentration only partially repressed cotX transcription and had little effect on [PROTEIN2] cotB [/PROTEIN2] transcription."
110,sigmaA,kdgR,"dependent, promoter","amod(promoter, sigmaA-dependent)",promoter-based regulation of transcription,INO_0000079,2,Primer extension experiments and Northern blot analysis show that an active [PROTEIN1] sigmaA [/PROTEIN1]-dependent promoter precedes [PROTEIN2] kdgR [/PROTEIN2] and transcription is terminated at the putative p-independent terminator downstream of kdgT.
111,sigmaW,sigW,"dependent, promoter, precedes",MORE THAN TWO KEYWORDS,promoter-based regulation of transcription,INO_0000079,3,"A [PROTEIN1] sigmaW [/PROTEIN1]-dependent promoter (PW) precedes [PROTEIN2] sigW [/PROTEIN2], demonstrating that this transcription factor is positively autoregulated."
112,sigma(A),sigX,"recognize, promoter ",-1,promoter-based regulation of transcription,INO_0000079,2,"We overproduced and purified sigma(X) from Escherichia coli and demonstrate that in vitro, both [PROTEIN1] sigma(A) [/PROTEIN1] and sigma(X) holoenzymes recognize promoter elements within the [PROTEIN2] sigX [/PROTEIN2]-ypuN control region."
113,sigma(A),ypuN,"recognize, promoter ",-1,promoter-based regulation of transcription,INO_0000079,2,"We overproduced and purified sigma(X) from Escherichia coli and demonstrate that in vitro, both [PROTEIN1] sigma(A) [/PROTEIN1] and sigma(X) holoenzymes recognize promoter elements within the sigX-[PROTEIN2] ypuN [/PROTEIN2] control region."
114,sigma(X),sigX,"recognize, promoter ",-1,promoter-based regulation of transcription,INO_0000079,2,"We overproduced and purified [PROTEIN1] sigma(X) [/PROTEIN1] from Escherichia coli and demonstrate that in vitro, both sigma(A) and sigma(X) holoenzymes recognize promoter elements within the [PROTEIN2] sigX [/PROTEIN2]-ypuN control region."
116,PhoP~P,tagA,"repress, transcription","dobj(repress,transcription)",inhibition of gene transcription,INO_0000046,2,The results indicate that [PROTEIN1] PhoP~P [/PROTEIN1] is sufficient to repress the transcription of the [PROTEIN2] tagA [/PROTEIN2] and tagD promoters and also to activate the transcription of the tuaA promoter.
117,PhoP~P,tagD,"repress, transcription","dobj(repress,transcription)",inhibition of gene transcription,INO_0000046,2,The results indicate that [PROTEIN1] PhoP~P [/PROTEIN1] is sufficient to repress the transcription of the tagA and [PROTEIN2] tagD [/PROTEIN2] promoters and also to activate the transcription of the tuaA promoter.
118,PhoP~P,tuaA,"activate, transcription","dobj(activate,transcription)",activation of gene transcription,INO_0000051,2,The results indicate that [PROTEIN1] PhoP~P [/PROTEIN1] is sufficient to repress the transcription of the tagA and tagD promoters and also to activate the transcription of the [PROTEIN2] tuaA [/PROTEIN2] promoter.
119,AraR,araE,"expression, promoter, negatively regulated",MORE THAN TWO KEYWORDS,negative regulation of transcription by binding to promoter,INO_0000074,3,"Transcriptional studies demonstrated that the expression from the [PROTEIN2] araE [/PROTEIN2] promoter is induced by L-arabinose, repressed by glucose, and negatively regulated by [PROTEIN1] AraR [/PROTEIN1]."
120,GerE,sigmaK,"stimulates, transcription, promoters",MORE THAN TWO KEYWORDS,positive regulation of transcription by binding to promoter,INO_0000072,3,"During endospore formation in Bacillus subtilis, the DNA binding protein [PROTEIN2] GerE [/PROTEIN2] stimulates transcription from several promoters that are used by RNA polymerase containing [PROTEIN1] sigmaK [/PROTEIN1]"
121,GerE,cotX,"binds, promoter",-1,regulation of transcription by binding to promoter,INO_0000071,2,"[PROTEIN1] GerE [/PROTEIN1] binds to a site on one of these promoters, [PROTEIN2] cotX [/PROTEIN2], that overlaps its -35 region."
122,Spo0A,sigma(A),"stimulate, transcription, dependent",MORE THAN TWO KEYWORDS,positive regulation of gene transcription,INO_0000049,3,"However, the mutant was unable to stimulate transcription by final [PROTEIN2] sigma(A) [/PROTEIN2]-RNA polymerase from the [PROTEIN1] Spo0A [/PROTEIN1]-dependent spoIIG operon promoter."
123,Spo0A,spoIIG,"dependent, promoter","amod(promoter,Spo0A-dependent)",promoter-based regulation of transcription,INO_0000079,2,"However, the mutant was unable to stimulate transcription by final sigma(A)-RNA polymerase from the [PROTEIN1] Spo0A [/PROTEIN1]-dependent [PROTEIN2] spoIIG [/PROTEIN2] operon promoter."
124,sigma(A),spoIIG,stimulate transcription; ,"dobj(stimulate,transcription)",positive regulation of gene transcription,INO_0000049,2,"However, the mutant was unable to stimulate transcription by final [PROTEIN1] sigma(A) [/PROTEIN1]-RNA polymerase from the Spo0A-dependent [PROTEIN2] spoIIG [/PROTEIN2] operon promoter."
125,sigmaB,clpC,"regulated, relying on","xcomp(regulated, relying)",regulation,INO_0000157,2,The Bacillus subtilis [PROTEIN2] clpC [/PROTEIN2] operon is regulated by two stress induction pathways relying on either [PROTEIN1] sigmaB [/PROTEIN1] or a class III stress induction mechanism acting at a sigmaA-like promoter.
126,sigmaA,clpC,"regulated, relying on","xcomp(regulated, relying)",regulation,INO_0000157,2,The Bacillus subtilis [PROTEIN2] clpC [/PROTEIN2] operon is regulated by two stress induction pathways relying on either sigmaB or a class III stress induction mechanism acting at a [PROTEIN1] sigmaA [/PROTEIN1]-like promoter.
127,CtsR,clpC,"acts, repressor","nmod:as(acts,repressor)",gene expression inhibition,INO_0000085,2,"Our data demonstrate that the [PROTEIN1] CtsR [/PROTEIN1] protein acts as a global repressor of the [PROTEIN2] clpC [/PROTEIN2] operon, as well as other class III heat shock genes, by preventing unstressed transcription from either the sigmaB- or sigmaA-dependent promoter and might be inactivated or dissociate under inducing stress conditions."
128,sigmaB,clpC,"preventing, transcription","dobj(preventing,transcription)",inhibition of gene transcription,INO_0000046,2,"Our data demonstrate that the CtsR protein acts as a global repressor of the [PROTEIN2] clpC [/PROTEIN2] operon, as well as other class III heat shock genes, by preventing unstressed transcription from either the [PROTEIN1] sigmaB [/PROTEIN1]- or sigmaA-dependent promoter and might be inactivated or dissociate under inducing stress conditions."
129,sigmaA,clpC,"preventing, transcription","dobj(preventing,transcription)",inhibition of gene transcription,INO_0000046,2,"Our data demonstrate that the CtsR protein acts as a global repressor of the [PROTEIN2] clpC [/PROTEIN2] operon, as well as other class III heat shock genes, by preventing unstressed transcription from either the sigmaB- or [PROTEIN2] sigmaA [/PROTEIN2]-dependent promoter and might be inactivated or dissociate under inducing stress conditions."
130,sigmaB,yvyD,"dependent, drives, expression, promoter",MORE THAN TWO KEYWORDS,positive regulation of transcription by binding to promoter,INO_0000072,4,"The [PROTEIN1] sigmaB [/PROTEIN1]-dependent promoter drives expression of [PROTEIN2] yvyD [/PROTEIN2] under stress conditions and after glucose starvation, whereas a sigmaH-dependent promoter is responsible for yvyD transcription following amino acid limitation."
133,sigmaH,yvyD,"member of, regulons","nmod:of(member, regulons)",gene expression regulation,INO_0000044,2,"This indicates that the [PROTEIN2] yvyD [/PROTEIN2] gene product, being a member of both the sigmaB and [PROTEIN1] sigmaH [/PROTEIN1] regulons, might negatively regulate the activity of the sigmaL regulon."
134,yvyD,sigmaL,"negatively regulate, activity","dobj(regulate,activity)",negative regulation of protein activity,INO_0000067,2,"This indicates that the [PROTEIN1] yvyD [/PROTEIN1] gene product, being a member of both the sigmaB and sigmaH regulons, might negatively regulate the activity of the [PROTEIN2] sigmaL [/PROTEIN2] regulon."
136,sigma(K),ftsY,"expressed, controlled, promoter",MORE THAN TWO KEYWORDS,positive regulation of transcription by binding to promoter,INO_0000072,3,"Therefore, ftsY is solely expressed during sporulation from a [PROTEIN1] sigma(K) [/PROTEIN1]- and GerE-controlled promoter that is located immediately upstream of [PROTEIN2] ftsY [/PROTEIN2] inside the smc gene."
137,GerE,ftsY,"expressed, controlled, promoter",MORE THAN TWO KEYWORDS,positive regulation of transcription by binding to promoter,INO_0000072,3,"Therefore, [PROTEIN2] ftsY [/PROTEIN2] is solely expressed during sporulation from a sigma(K)- and [PROTEIN1] GerE [/PROTEIN1]-controlled promoter that is located immediately upstream of ftsY inside the smc gene."
138,sigmaB,gsiB,"member of, regulon","nmod:of(member, regulon)",gene expression regulation,INO_0000044,2,In that respect sigB is similar to the previously described gene [PROTEIN2] gsiB [/PROTEIN2] which is also a member of the [PROTEIN1] sigmaB [/PROTEIN1] regulon.
139,sigmaB,sigB,"member of, regulon","nmod:of(member, regulon)",gene expression regulation,INO_0000044,2,In that respect [PROTEIN2] sigB [/PROTEIN2] is similar to the previously described gene gsiB which is also a member of the [PROTEIN1] sigmaB [/PROTEIN1] regulon.
140,ClpX,sigmaH,"dependent, stimulation","amod(stimulation, ClpX-dependent)",positve regulation of protein activity,INO_0000104,2,"The addition of [PROTEIN1] ClpX [/PROTEIN1] to in vitro transcription reactions resulted in the stimulation of RNAP holoenzyme activity, but [PROTEIN2] sigmaH [/PROTEIN2]-RNAP was observed to be more sensitive to ClpX-dependent stimulation than sigmaA-RNAP."
141,ClpX,sigmaA,"dependent, stimulation","amod(stimulation, ClpX-dependent)",positve regulation of protein activity,INO_0000104,2,"The addition of ClpX to in vitro transcription reactions resulted in the stimulation of RNAP holoenzyme activity, but sigmaH-RNAP was observed to be more sensitive to [PROTEIN1] ClpX [/PROTEIN1]-dependent stimulation than [PROTEIN2] sigmaA [/PROTEIN2]-RNAP."
142,ClpX,sigmaH,"dependent, stimulation","amod(stimulation, ClpX-dependent)",positve regulation of protein activity,INO_0000104,2,"The addition of ClpX to in vitro transcription reactions resulted in the stimulation of RNAP holoenzyme activity, but [PROTEIN2] sigmaH [/PROTEIN2]-RNAP was observed to be more sensitive to [PROTEIN1] ClpX [/PROTEIN1]-dependent stimulation than sigmaA-RNAP."
143,ClpX,sigmaA,"dependent, stimulation","amod(stimulation, ClpX-dependent)",positve regulation of protein activity,INO_0000104,2,"The addition of [PROTEIN1] ClpX [/PROTEIN1] to in vitro transcription reactions resulted in the stimulation of RNAP holoenzyme activity, but sigmaH-RNAP was observed to be more sensitive to ClpX-dependent stimulation than [PROTEIN2] sigmaA [/PROTEIN2]-RNAP."
144,Spo0,spo0H,"governs, activity","dobj(governs,activity)",regulation of protein activity,INO_0000055,2,"Although [PROTEIN2] spo0H [/PROTEIN2] is transcriptionally regulated by the key regulatory device that controls sporulation initiation, the [PROTEIN1] Spo0 [/PROTEIN1] phosphorelay, there is considerable evidence implicating a mechanism of post-translational control that governs the activity and concentration of sigmaH."
146,SpoIIAB,sigma G,inhibits ,ONE WORD,inhibition,INO_0000124,1,"The class includes AsiA form bacteriophage T4, which inhibits Escherichia coli sigma 70; FlgM, present in both gram-positive and gram-negative bacteria, which inhibits the flagella sigma factor sigma 28; [PROTEIN1] SpoIIAB [/PROTEIN1], which inhibits the sporulation-specific sigma factor, sigma F and [PROTEIN2] sigma G [/PROTEIN2], of Bacillus subtilis; RbsW of B. subtilis, which inhibits stress response sigma factor sigma B; and DnaK, a general regulator of the heat shock response, which in bacteria inhibits the heat shock sigma factor sigma 32."
147,FlgM,sigma 28,inhibits ,ONE WORD,inhibition,INO_0000124,1,"The class includes AsiA form bacteriophage T4, which inhibits Escherichia coli sigma 70; [PROTEIN1] FlgM [/PROTEIN1], present in both gram-positive and gram-negative bacteria, which inhibits the flagella sigma factor [PROTEIN2] sigma 28 [/PROTEIN2]; SpoIIAB, which inhibits the sporulation-specific sigma factor, sigma F and sigma G, of Bacillus subtilis; RbsW of B. subtilis, which inhibits stress response sigma factor sigma B; and DnaK, a general regulator of the heat shock response, which in bacteria inhibits the heat shock sigma factor sigma 32."
148,RbsW,sigma B,inhibits ,ONE WORD,inhibition,INO_0000124,1,"The class includes AsiA form bacteriophage T4, which inhibits Escherichia coli sigma 70; FlgM, present in both gram-positive and gram-negative bacteria, which inhibits the flagella sigma factor sigma 28; SpoIIAB, which inhibits the sporulation-specific sigma factor, sigma F and sigma G, of Bacillus subtilis; [PROTEIN1] RbsW [/PROTEIN1] of B. subtilis, which inhibits stress response sigma factor [PROTEIN2] sigma B [/PROTEIN2]; and DnaK, a general regulator of the heat shock response, which in bacteria inhibits the heat shock sigma factor sigma 32."
149,DnaK,sigma 32,inhibits ,ONE WORD,inhibition,INO_0000124,1,"The class includes AsiA form bacteriophage T4, which inhibits Escherichia coli sigma 70; FlgM, present in both gram-positive and gram-negative bacteria, which inhibits the flagella sigma factor sigma 28; SpoIIAB, which inhibits the sporulation-specific sigma factor, sigma F and sigma G, of Bacillus subtilis; RbsW of B. subtilis, which inhibits stress response sigma factor sigma B; and [PROTEIN1] DnaK [/PROTEIN1], a general regulator of the heat shock response, which in bacteria inhibits the heat shock sigma factor [PROTEIN2] sigma 32 [/PROTEIN2]."
150,sigmaE,spoIVA,"localization, under the control",-1,regulation of protein location,INO_0000031,2,"Finally, we show that proper localization of [PROTEIN2] SpoIVA [/PROTEIN2] required the expression of one or more genes which, like spoIVA, are under the control of the mother cell transcription factor [PROTEIN1] sigmaE [/PROTEIN1]."
151,sigmaG,sspH,recognized ,ONE WORD,association,MI_0914,1,"The [PROTEIN2] sspH [/PROTEIN2]and sspL genes are recognized primarily by the forespore-specific sigma factor for RNA polymerase, [PROTEIN1] sigmaG [/PROTEIN1]; the sspN-tlp operon is recognized equally well by sigmaG and the other forespore-specific sigma factor, sigmaF."
153,sigmaG,sspN,recognized ,ONE WORD,association,MI_0914,1,"The sspH and sspL genes are recognized primarily by the forespore-specific sigma factor for RNA polymerase, sigmaG; the [PROTEIN2] sspN [/PROTEIN2]-tlp operon is recognized equally well by [PROTEIN1] sigmaG [/PROTEIN1] and the other forespore-specific sigma factor, sigmaF."
154,sigmaG,tlp,recognized ,ONE WORD,association,MI_0914,1,"The sspH and sspL genes are recognized primarily by the forespore-specific sigma factor for RNA polymerase, sigmaG; the sspN-[PROTEIN2] tlp [/PROTEIN2] operon is recognized equally well by [PROTEIN1] sigmaG [/PROTEIN1] and the other forespore-specific sigma factor, sigmaF."
155,sigmaF,sspN,recognized ,ONE WORD,association,MI_0914,1,"The sspH and sspL genes are recognized primarily by the forespore-specific sigma factor for RNA polymerase, sigmaG; the [PROTEIN2] sspN [/PROTEIN2]-tlp operon is recognized equally well by sigmaG and the other forespore-specific sigma factor, [PROTEIN1] sigmaF [/PROTEIN1]."
156,sigmaF,tlp,recognized ,ONE WORD,association,MI_0914,1,"The sspH and sspL genes are recognized primarily by the forespore-specific sigma factor for RNA polymerase, sigmaG; the sspN-[PROTEIN2] tlp [/PROTEIN2] operon is recognized equally well by sigmaG and the other forespore-specific sigma factor, [PROTEIN1] sigmaF [/PROTEIN1]."
158,sigma W,RacX,"regulon, includes","nsubj(includes,regulon)",gene expression regulation,INO_0000044,2,"The [PROTEIN1] sigma W [/PROTEIN1] regulon includes a penicillin binding protein (PBP4*) and a co-transcribed amino acid racemase ([PROTEIN2] RacX [/PROTEIN2]), homologues of signal peptide peptidase (YteI), flotillin (YuaG), ABC transporters (YknXYZ), non-haem bromoperoxidase (YdjP), epoxide hydrolase (YfhM) and three small peptides with structural similarities to bacteriocin precursor polypeptides."
159,sigma W,YteI,"regulon, includes","nsubj(includes,regulon)",gene expression regulation,INO_0000044,2,"The [PROTEIN1] sigma W [/PROTEIN1] regulon includes a penicillin binding protein (PBP4*) and a co-transcribed amino acid racemase (RacX), homologues of signal peptide peptidase ([PROTEIN2] YteI [/PROTEIN2]), flotillin (YuaG), ABC transporters (YknXYZ), non-haem bromoperoxidase (YdjP), epoxide hydrolase (YfhM) and three small peptides with structural similarities to bacteriocin precursor polypeptides."
160,sigma W,YuaG,"regulon, includes","nsubj(includes,regulon)",gene expression regulation,INO_0000044,2,"The [PROTEIN1] sigma W [/PROTEIN1] regulon includes a penicillin binding protein (PBP4*) and a co-transcribed amino acid racemase (RacX), homologues of signal peptide peptidase (YteI), flotillin ([PROTEIN2] YuaG [/PROTEIN2]), ABC transporters (YknXYZ), non-haem bromoperoxidase (YdjP), epoxide hydrolase (YfhM) and three small peptides with structural similarities to bacteriocin precursor polypeptides."
161,sigma W,YknXYZ,"regulon, includes","nsubj(includes,regulon)",gene expression regulation,INO_0000044,2,"The [PROTEIN1] sigma W [/PROTEIN1] regulon includes a penicillin binding protein (PBP4*) and a co-transcribed amino acid racemase (RacX), homologues of signal peptide peptidase (YteI), flotillin (YuaG), ABC transporters ([PROTEIN2] YknXYZ [/PROTEIN2]), non-haem bromoperoxidase (YdjP), epoxide hydrolase (YfhM) and three small peptides with structural similarities to bacteriocin precursor polypeptides."
162,sigma W,YdjP,"regulon, includes","nsubj(includes,regulon)",gene expression regulation,INO_0000044,2,"The [PROTEIN1] sigma W [/PROTEIN1] regulon includes a penicillin binding protein (PBP4*) and a co-transcribed amino acid racemase (RacX), homologues of signal peptide peptidase (YteI), flotillin (YuaG), ABC transporters (YknXYZ), non-haem bromoperoxidase ([PROTEIN2] YdjP [/PROTEIN2]), epoxide hydrolase (YfhM) and three small peptides with structural similarities to bacteriocin precursor polypeptides."
163,sigma W,YfhM,"regulon, includes","nsubj(includes,regulon)",gene expression regulation,INO_0000044,2,"The [PROTEIN1] sigma W [/PROTEIN1] regulon includes a penicillin binding protein (PBP4*) and a co-transcribed amino acid racemase (RacX), homologues of signal peptide peptidase (YteI), flotillin (YuaG), ABC transporters (YknXYZ), non-haem bromoperoxidase (YdjP), epoxide hydrolase ([PROTEIN2] YfhM [/PROTEIN2]) and three small peptides with structural similarities to bacteriocin precursor polypeptides."
