,Unnamed: 0,Gene1,Gene2,Keywords,Direct dependency relations,INO Type,INO ID,Num. Keywords,Sentence,Prompts
0,0,KinC,Spo0A~P,"responsible, production","nmod(responsible, production)",regulation of translation,INO_0000034,2,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.","What is the keyword that represents the  interaction between the proteins KinC and Spo0A~P in the given sentence? In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB. Keywords: responsible, production"
1,1,KinD,Spo0A~P,"responsible, production","nmod(responsible, production)",regulation of translation,INO_0000034,2,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.","What is the keyword that represents the  interaction between the proteins KinD and Spo0A~P in the given sentence? In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB. Keywords: responsible, production"
2,2,sigma(A),spoIIG,"transcription, depends","nsubj(depends, transcription)",regulation of transcription,INO_0000032,2,"In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.","What is the keyword that represents the  interaction between the proteins sigma(A) and spoIIG in the given sentence? In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C. Keywords: transcription, depends"
3,3,Spo0A,spoIIG,"transcription, depends","nsubj(depends, transcription)",regulation of transcription,INO_0000032,2,"In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.","What is the keyword that represents the  interaction between the proteins Spo0A and spoIIG in the given sentence? In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C. Keywords: transcription, depends"
4,4,SigE,ydhD,"transcription, dependent","nsubj(dependent, transcription)",regulation of transcription,INO_0000032,2,"Transcription of ydhD was dependent on SigE, and the mRNA was detectable from 2 h after the cessation of logarithmic growth (T2 of sporulation).","What is the keyword that represents the  interaction between the proteins SigE and ydhD in the given sentence? Transcription of ydhD was dependent on SigE, and the mRNA was detectable from 2 h after the cessation of logarithmic growth (T2 of sporulation). Keywords: transcription, dependent"
5,5,SigK,ykuD,transcribed,ONE WORD,regulation of transcription,INO_0000032,1,ykuD was transcribed by SigK RNA polymerase from T4 of sporulation.,What is the keyword that represents the  interaction between the proteins SigK and ykuD in the given sentence? ykuD was transcribed by SigK RNA polymerase from T4 of sporulation. Keywords: transcribed
6,6,SigK,ykvP,"essential, expression","nmod(essential, expression)",gene expression regulation,INO_0000044,2,"Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation.","What is the keyword that represents the  interaction between the proteins SigK and ykvP in the given sentence? Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation. Keywords: essential, expression"
7,7,GerE,ykvP,"essential, expression","nmod(essential, expression)",gene expression regulation,INO_0000044,2,"Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation.","What is the keyword that represents the  interaction between the proteins GerE and ykvP in the given sentence? Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation. Keywords: essential, expression"
8,8,sigma(F),ywhE,"expression, controlled",-1,gene expression regulation,INO_0000044,2,"Analysis of the expression of a translational ywhE-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor sigma(F), and to a lesser extent by sigma(G).","What is the keyword that represents the  interaction between the proteins sigma(F) and ywhE in the given sentence? Analysis of the expression of a translational ywhE-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor sigma(F), and to a lesser extent by sigma(G). Keywords: expression, controlled"
9,10,SpoIIE,sigma(F),"essential, activation","nmod:for(essential, activation)",regulation of gene activation,INO_0000037,2,"Secondly, SpoIIE is essential for the activation of the first compartment-specific transcription factor sigma(F) in the prespore.","What is the keyword that represents the  interaction between the proteins SpoIIE and sigma(F) in the given sentence? Secondly, SpoIIE is essential for the activation of the first compartment-specific transcription factor sigma(F) in the prespore. Keywords: essential, activation"
10,11,FtsZ,SpoIIE,"localization, dependent","nsubj(dependent, Localization)",regulation of protein location,INO_0000031,2,Localization of SpoIIE was shown to be dependent on the essential cell division protein FtsZ.,"What is the keyword that represents the  interaction between the proteins FtsZ and SpoIIE in the given sentence? Localization of SpoIIE was shown to be dependent on the essential cell division protein FtsZ. Keywords: localization, dependent"
11,13,sigma(H),spoVG,"dependent, expression","amod(expression, dependent)",gene expression regulation,INO_0000044,2,"In the shaA mutant, sigma(H)-dependent expression of spo0A and spoVG at an early stage of sporulation was sensitive to external NaCl.","What is the keyword that represents the  interaction between the proteins sigma(H) and spoVG in the given sentence? In the shaA mutant, sigma(H)-dependent expression of spo0A and spoVG at an early stage of sporulation was sensitive to external NaCl. Keywords: dependent, expression"
12,14,sigma(F),rsfA,"expression, control","nsubj(control, expression)",gene expression regulation,INO_0000044,2,The expression of rsfA is under the control of both sigma(F) and sigma(G).,"What is the keyword that represents the  interaction between the proteins sigma(F) and rsfA in the given sentence? The expression of rsfA is under the control of both sigma(F) and sigma(G). Keywords: expression, control"
13,17,gerE,cwlH,"expression, depended",-1,gene expression regulation,INO_0000044,2,Expression of the sigma(K)-dependent cwlH gene depended on gerE.,"What is the keyword that represents the  interaction between the proteins gerE and cwlH in the given sentence? Expression of the sigma(K)-dependent cwlH gene depended on gerE. Keywords: expression, depended"
14,20,sigmaB,katX,"dependent, promoters","amod(promoters, sigmaF-dependent)",promoter-based regulation of transcription ,INO_0000079,2,"The -10 and -35 sequences of the sigmaB- and sigmaF-dependent promoters of katX overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide.","What is the keyword that represents the  interaction between the proteins sigmaB and katX in the given sentence? The -10 and -35 sequences of the sigmaB- and sigmaF-dependent promoters of katX overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide. Keywords: dependent, promoters"
15,21,sigmaF,katX,"dependent, promoters","amod(promoters, sigmaF-dependent)",promoter-based regulation of transcription ,INO_0000079,2,"The -10 and -35 sequences of the sigmaB- and sigmaF-dependent promoters of katX overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide.","What is the keyword that represents the  interaction between the proteins sigmaF and katX in the given sentence? The -10 and -35 sequences of the sigmaB- and sigmaF-dependent promoters of katX overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide. Keywords: dependent, promoters"
16,22,sigmaB,katX,dependent,ONE WORD,gene expression regulation,INO_0000044,1,"We demonstrated that katX is also a sigmaB-dependent general stress gene, since it is strongly induced by heat, salt and ethanol stress, as well as by energy depletion.","What is the keyword that represents the  interaction between the proteins sigmaB and katX in the given sentence? We demonstrated that katX is also a sigmaB-dependent general stress gene, since it is strongly induced by heat, salt and ethanol stress, as well as by energy depletion. Keywords: dependent"
17,23,SpoIIE,sigmaF,"control, activation","nmod:of(control, activation)",regulation of gene activation,INO_0000037,2,"Taken together, the results support the idea that sequestration of SpoIIE protein into the prespore plays an important role in the control of sigmaF activation and in coupling this activation to septation.","What is the keyword that represents the  interaction between the proteins SpoIIE and sigmaF in the given sentence? Taken together, the results support the idea that sequestration of SpoIIE protein into the prespore plays an important role in the control of sigmaF activation and in coupling this activation to septation. Keywords: control, activation"
18,25,SpoIIAA,sigmaF,controlled,ONE WORD,controling,INO_0000057,1,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.","What is the keyword that represents the  interaction between the proteins SpoIIAA and sigmaF in the given sentence? sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form. Keywords: controlled"
19,26,SpoIIE,sigmaF,controlled,ONE WORD,controling,INO_0000057,1,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.","What is the keyword that represents the  interaction between the proteins SpoIIE and sigmaF in the given sentence? sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form. Keywords: controlled"
20,27,SpoIIE,SpoIIAA,"converts, active",-1,regulation of gene activation,INO_0000037,2,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.","What is the keyword that represents the  interaction between the proteins SpoIIE and SpoIIAA in the given sentence? sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form. Keywords: converts, active"
21,28,SigL,rocG,transcribed,ONE WORD,gene transcription,INO_0000173,1,"The rocG gene of Bacillus subtilis, encoding a catabolic glutamate dehydrogenase, is transcribed by SigL-containing RNA polymerase and requires for its expression RocR, a member of the NtrC/NifA family of proteins that bind to enhancer-like elements, called upstream activating sequences (UAS).","What is the keyword that represents the  interaction between the proteins SigL and rocG in the given sentence? The rocG gene of Bacillus subtilis, encoding a catabolic glutamate dehydrogenase, is transcribed by SigL-containing RNA polymerase and requires for its expression RocR, a member of the NtrC/NifA family of proteins that bind to enhancer-like elements, called upstream activating sequences (UAS). Keywords: transcribed"
22,32,E sigma E,yfhS,transcribed,ONE WORD,regulation of transcription,INO_0000032,1,Northern blot and primer extension analyses indicated that yfhS is transcribed by E sigma E during sporulation.,What is the keyword that represents the  interaction between the proteins E sigma E and yfhS in the given sentence? Northern blot and primer extension analyses indicated that yfhS is transcribed by E sigma E during sporulation. Keywords: transcribed
23,33,YfhP,yfhQ,"negative regulator, transcription","nmod:for(regulator, transcription); amod(regulator, negative)",negative regulation of transcription,INO_0000074,2,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.","What is the keyword that represents the  interaction between the proteins YfhP and yfhQ in the given sentence? These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP. Keywords: negative regulator, transcription"
24,34,YfhP,yfhR,"negative regulator, transcription","nmod:for(regulator, transcription); amod(regulator, negative)",negative regulation of transcription,INO_0000074,2,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.","What is the keyword that represents the  interaction between the proteins YfhP and yfhR in the given sentence? These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP. Keywords: negative regulator, transcription"
25,35,YfhP,sspE,"negative regulator, transcription","nmod:for(regulator, transcription); amod(regulator, negative)",negative regulation of transcription,INO_0000074,2,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.","What is the keyword that represents the  interaction between the proteins YfhP and sspE in the given sentence? These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP. Keywords: negative regulator, transcription"
26,36,YfhP,yfhP,"negative regulator, transcription","nmod:for(regulator, transcription); amod(regulator, negative)",negative regulation of transcription,INO_0000074,2,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.","What is the keyword that represents the  interaction between the proteins YfhP and yfhP in the given sentence? These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP. Keywords: negative regulator, transcription"
27,37,sigmaK,Spo0A,"production, affect","nsubj(affect, production)",gene expression regulation,INO_0000044,2,"Production of sigmaK about 1 h earlier than normal does affect Spo0A, which when phosphorylated is an activator of sigE transcription.","What is the keyword that represents the  interaction between the proteins sigmaK and Spo0A in the given sentence? Production of sigmaK about 1 h earlier than normal does affect Spo0A, which when phosphorylated is an activator of sigE transcription. Keywords: production, affect"
28,38,Spo0A,sigE,"phosphorylated, activator, transcription",MORE THAN TWO KEYWORDS,activation of gene transcription by phosphorylated protein,INO_0000081,3,"Production of sigmaK about 1 h earlier than normal does affect Spo0A, which when phosphorylated is an activator of sigE transcription.","What is the keyword that represents the  interaction between the proteins Spo0A and sigE in the given sentence? Production of sigmaK about 1 h earlier than normal does affect Spo0A, which when phosphorylated is an activator of sigE transcription. Keywords: phosphorylated, activator, transcription"
29,39,sigmaA,ald,"promoter, recognized","nsubjpass(recognized, promoter)",promoter-based regulation of transcription,INO_0000079,2,"The ald promoter, like the sigE promoter, is believed to be recognized by sigmaA RNA polymerase, suggesting that sigmaK may inhibit sigmaA activity late in sporulation.","What is the keyword that represents the  interaction between the proteins sigmaA and ald in the given sentence? The ald promoter, like the sigE promoter, is believed to be recognized by sigmaA RNA polymerase, suggesting that sigmaK may inhibit sigmaA activity late in sporulation. Keywords: promoter, recognized"
30,40,sigmaA,sigE,"promoter, recognized","nsubjpass(recognized, promoter)",promoter-based regulation of transcription,INO_0000079,2,"The ald promoter, like the sigE promoter, is believed to be recognized by sigmaA RNA polymerase, suggesting that sigmaK may inhibit sigmaA activity late in sporulation.","What is the keyword that represents the  interaction between the proteins sigmaA and sigE in the given sentence? The ald promoter, like the sigE promoter, is believed to be recognized by sigmaA RNA polymerase, suggesting that sigmaK may inhibit sigmaA activity late in sporulation. Keywords: promoter, recognized"
31,41,sigmaK,sigmaA,"inhibit, activity","dobj(inhibit, activity)",inhibition of protein activity,INO_0000070,2,"The ald promoter, like the sigE promoter, is believed to be recognized by sigmaA RNA polymerase, suggesting that sigmaK may inhibit sigmaA activity late in sporulation.","What is the keyword that represents the  interaction between the proteins sigmaK and sigmaA in the given sentence? The ald promoter, like the sigE promoter, is believed to be recognized by sigmaA RNA polymerase, suggesting that sigmaK may inhibit sigmaA activity late in sporulation. Keywords: inhibit, activity"
32,42,sigmaK,sigE,"expression, negatively regulated","nsubjpass(regulated, expression); advmod(regulated, negatively)",negative regulation of gene expression,INO_0000039,2,"In the mother cell compartment of sporulating cells, expression of the sigE gene, encoding the earlier-acting sigma factor, sigmaE, is negatively regulated by the later-acting sigma factor, sigmaK.","What is the keyword that represents the  interaction between the proteins sigmaK and sigE in the given sentence? In the mother cell compartment of sporulating cells, expression of the sigE gene, encoding the earlier-acting sigma factor, sigmaE, is negatively regulated by the later-acting sigma factor, sigmaK. Keywords: expression, negatively regulated"
33,43,FtsZ,SpoIIE,depends,ONE WORD,regulation,INO_0000157,1,"The first stage, which involves the phosphatase function of SpoIIE, depends on the cell division protein FtsZ and could correspond to the FtsZ-dependent assembly of SpoIIE into E-rings.","What is the keyword that represents the  interaction between the proteins FtsZ and SpoIIE in the given sentence? The first stage, which involves the phosphatase function of SpoIIE, depends on the cell division protein FtsZ and could correspond to the FtsZ-dependent assembly of SpoIIE into E-rings. Keywords: depends"
34,44,FtsZ,SpoIIE,"dependent, assembly","amod(assembly, FtsZ-dependent)",regulation of assembly,INO_0000100,2,"The first stage, which involves the phosphatase function of SpoIIE, depends on the cell division protein FtsZ and could correspond to the FtsZ-dependent assembly of SpoIIE into E-rings.","What is the keyword that represents the  interaction between the proteins FtsZ and SpoIIE in the given sentence? The first stage, which involves the phosphatase function of SpoIIE, depends on the cell division protein FtsZ and could correspond to the FtsZ-dependent assembly of SpoIIE into E-rings. Keywords: dependent, assembly"
35,45,SpoIIE,SpoIIAA,blocks,ONE WORD,inhibition,INO_0000124,1,Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that SpoIIE blocks the capacity of unphosphorylated SpoIIAA to activate sigmaF until formation of the polar septum is completed.,What is the keyword that represents the  interaction between the proteins SpoIIE and SpoIIAA in the given sentence? Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that SpoIIE blocks the capacity of unphosphorylated SpoIIAA to activate sigmaF until formation of the polar septum is completed. Keywords: blocks
36,46,SpoIIAA,sigmaF,activate,ONE WORD,activation,INO_0000024,1,Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that SpoIIE blocks the capacity of unphosphorylated SpoIIAA to activate sigmaF until formation of the polar septum is completed.,What is the keyword that represents the  interaction between the proteins SpoIIAA and sigmaF in the given sentence? Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that SpoIIE blocks the capacity of unphosphorylated SpoIIAA to activate sigmaF until formation of the polar septum is completed. Keywords: activate
37,47,SpoIIE,sigmaF,"activation, requires","nsubj(requires, activation)
",regulation of gene activation,INO_0000037,2,Cell-specific activation of transcription factor sigmaF during sporulation in Bacillus subtilis requires the formation of the polar septum and the activity of a serine phosphatase (SpoIIE) located in the septum.,"What is the keyword that represents the  interaction between the proteins SpoIIE and sigmaF in the given sentence? Cell-specific activation of transcription factor sigmaF during sporulation in Bacillus subtilis requires the formation of the polar septum and the activity of a serine phosphatase (SpoIIE) located in the septum. Keywords: activation, requires"
38,48,SpoIIE,SpoIIAA-P,dephosphorylating,ONE WORD,dephosphorylation reaction,MI:0203,1,The SpoIIE phosphatase indirectly activates sigmaF by dephosphorylating a protein (SpoIIAA-P) in the pathway that controls the activity of the transcription factor.,What is the keyword that represents the  interaction between the proteins SpoIIE and SpoIIAA-P in the given sentence? The SpoIIE phosphatase indirectly activates sigmaF by dephosphorylating a protein (SpoIIAA-P) in the pathway that controls the activity of the transcription factor. Keywords: dephosphorylating
39,49,SpoIIE,sigmaF,activates,ONE WORD,activation,INO_0000024,1,The SpoIIE phosphatase indirectly activates sigmaF by dephosphorylating a protein (SpoIIAA-P) in the pathway that controls the activity of the transcription factor.,What is the keyword that represents the  interaction between the proteins SpoIIE and sigmaF in the given sentence? The SpoIIE phosphatase indirectly activates sigmaF by dephosphorylating a protein (SpoIIAA-P) in the pathway that controls the activity of the transcription factor. Keywords: activates
40,50,SpoIIAA-P,sigmaF,"controls, activity","dobj(controls, activity)",regulation of protein activity,INO_0000055,2,The SpoIIE phosphatase indirectly activates sigmaF by dephosphorylating a protein (SpoIIAA-P) in the pathway that controls the activity of the transcription factor.,"What is the keyword that represents the  interaction between the proteins SpoIIAA-P and sigmaF in the given sentence? The SpoIIE phosphatase indirectly activates sigmaF by dephosphorylating a protein (SpoIIAA-P) in the pathway that controls the activity of the transcription factor. Keywords: controls, activity"
41,52,sigmaB,bmrUR,control,ONE WORD,controling,INO_0000057,1,(i) The finding that the bmrUR operon is under sigmaB control indicates that the elimination of multidrug compounds might be a new function in multiple stress resistance.,What is the keyword that represents the  interaction between the proteins sigmaB and bmrUR in the given sentence? (i) The finding that the bmrUR operon is under sigmaB control indicates that the elimination of multidrug compounds might be a new function in multiple stress resistance. Keywords: control
42,53,sigmaB,ydaP,dependent,ONE WORD,gene expression regulation,INO_0000044,1,"The ydaP gene might belong to the increasing number of sigmaB-dependent genes whose orthologues are under the control of sigmas in Escherichia coli, indicating that both regulons may fulfil similar functions.","What is the keyword that represents the  interaction between the proteins sigmaB and ydaP in the given sentence? The ydaP gene might belong to the increasing number of sigmaB-dependent genes whose orthologues are under the control of sigmas in Escherichia coli, indicating that both regulons may fulfil similar functions. Keywords: dependent"
43,54,sigmaB,ydaE,dependent,ONE WORD,gene expression regulation,INO_0000044,1,"Three new sigmaB-dependent genes (ydaE, ydaG and yfkM) encoding proteins with still unknown functions were also described.","What is the keyword that represents the  interaction between the proteins sigmaB and ydaE in the given sentence? Three new sigmaB-dependent genes (ydaE, ydaG and yfkM) encoding proteins with still unknown functions were also described. Keywords: dependent"
44,56,sigmaB,yfkM,dependent,ONE WORD,gene expression regulation,INO_0000044,1,"Three new sigmaB-dependent genes (ydaE, ydaG and yfkM) encoding proteins with still unknown functions were also described.","What is the keyword that represents the  interaction between the proteins sigmaB and yfkM in the given sentence? Three new sigmaB-dependent genes (ydaE, ydaG and yfkM) encoding proteins with still unknown functions were also described. Keywords: dependent"
45,57,SpoIIE,sigma F,"activated, action","nmod:through(activated, action)",gene activation,INO_0000075,2,"Cell specificity is first established in the forespore under the control of the sigma F factor, which is itself activated through the action of the SpoIIE serine phosphatase, an enzyme targeted to the septum between the two cells.","What is the keyword that represents the  interaction between the proteins SpoIIE and sigma F in the given sentence? Cell specificity is first established in the forespore under the control of the sigma F factor, which is itself activated through the action of the SpoIIE serine phosphatase, an enzyme targeted to the septum between the two cells. Keywords: activated, action"
46,58,sigmaK,cot,transcribed,ONE WORD,gene transcription,INO_0000173,1,"Most cot genes, and the gerE gene, are transcribed by sigmaK RNA polymerase.","What is the keyword that represents the  interaction between the proteins sigmaK and cot in the given sentence? Most cot genes, and the gerE gene, are transcribed by sigmaK RNA polymerase. Keywords: transcribed"
47,59,sigmaK,gerE,transcribed,ONE WORD,gene transcription,INO_0000173,1,"Most cot genes, and the gerE gene, are transcribed by sigmaK RNA polymerase.","What is the keyword that represents the  interaction between the proteins sigmaK and gerE in the given sentence? Most cot genes, and the gerE gene, are transcribed by sigmaK RNA polymerase. Keywords: transcribed"
48,60,GerE,sigK,"inhibits, transcription","dobj(inhibits, transcription)",inhibition of gene transcription,INO_0000046,2,"Previously, it was shown that the GerE protein inhibits transcription in vitro of the sigK gene encoding sigmaK.","What is the keyword that represents the  interaction between the proteins GerE and sigK in the given sentence? Previously, it was shown that the GerE protein inhibits transcription in vitro of the sigK gene encoding sigmaK. Keywords: inhibits, transcription"
49,61,sigmaK,gerE,"dependent, transcription","amod(transcription-6, sigmaK-dependent-5)",regulation of transcription,INO_0000032,2,These results demonstrate that sigmaK-dependent transcription of gerE initiates a negative feedback loop in which GerE acts as a repressor to limit production of sigmaK.,"What is the keyword that represents the  interaction between the proteins sigmaK and gerE in the given sentence? These results demonstrate that sigmaK-dependent transcription of gerE initiates a negative feedback loop in which GerE acts as a repressor to limit production of sigmaK. Keywords: dependent, transcription"
