,Unnamed: 0,Gene1,Gene2,Keywords,Direct dependency relations,INO Type,INO ID,Num. Keywords,Sentence,Prompts
50,62,GerE,sigmaK,"repressor, limit production","acl(repressor, limit); dobj(limit, production)
",inhibition of gene transcription,INO_0000046,2,These results demonstrate that sigmaK-dependent transcription of gerE initiates a negative feedback loop in which GerE acts as a repressor to limit production of sigmaK.,"What is the keyword that represents the  interaction between the proteins GerE and sigmaK in the given sentence? These results demonstrate that sigmaK-dependent transcription of gerE initiates a negative feedback loop in which GerE acts as a repressor to limit production of sigmaK. Keywords: repressor, limit production"
51,63,GerE,sigmaK,"activated, transcription","dobj(activated, transcription)",regulation of transcription,INO_0000032,2,"A low level of GerE activated transcription of cotD by sigmaK RNA polymerase in vitro, but a higher level of GerE repressed cotD transcription.","What is the keyword that represents the  interaction between the proteins GerE and sigmaK in the given sentence? A low level of GerE activated transcription of cotD by sigmaK RNA polymerase in vitro, but a higher level of GerE repressed cotD transcription. Keywords: activated, transcription"
52,64,GerE,cotD,"low level, activated, transcription",MORE THAN TWO KEYWORDS,activation of gene transcription by low level protein,INO_0000052,3,"A low level of GerE activated transcription of cotD by sigmaK RNA polymerase in vitro, but a higher level of GerE repressed cotD transcription.","What is the keyword that represents the  interaction between the proteins GerE and cotD in the given sentence? A low level of GerE activated transcription of cotD by sigmaK RNA polymerase in vitro, but a higher level of GerE repressed cotD transcription. Keywords: low level, activated, transcription"
53,65,sigmaK,cotD,transcription,ONE WORD,regulation of transcription,INO_0000032,1,"A low level of GerE activated transcription of cotD by sigmaK RNA polymerase in vitro, but a higher level of GerE repressed cotD transcription.","What is the keyword that represents the  interaction between the proteins sigmaK and cotD in the given sentence? A low level of GerE activated transcription of cotD by sigmaK RNA polymerase in vitro, but a higher level of GerE repressed cotD transcription. Keywords: transcription"
54,67,GerE,sigK,"binds, transcriptional, act, repressor",MORE THAN TWO KEYWORDS,negative regulation of gene transcription,INO_0000042,4,"Here, we show that GerE binds near the sigK transcriptional start site, to act as a repressor.","What is the keyword that represents the  interaction between the proteins GerE and sigK in the given sentence? Here, we show that GerE binds near the sigK transcriptional start site, to act as a repressor. Keywords: binds, transcriptional, act, repressor"
55,68,GerE,cotD,"binds, promoter",-1,regulation of transcription by binding to promoter,INO_0000071,2,We show that GerE binds to two sites that span the -35 region of the cotD promoter.,"What is the keyword that represents the  interaction between the proteins GerE and cotD in the given sentence? We show that GerE binds to two sites that span the -35 region of the cotD promoter. Keywords: binds, promoter"
56,69,GerE,cotD,"activate, transcription, repress, transcription","dobj(activate, transcription);  advmod(transcription, repress)",regulation of transcription,INO_0000032,2 (2 events with two keywords each),These results suggest that a rising level of GerE in sporulating cells may first activate cotD transcription from the upstream site then repress transcription as the downstream site becomes occupied.,"What is the keyword that represents the  interaction between the proteins GerE and cotD in the given sentence? These results suggest that a rising level of GerE in sporulating cells may first activate cotD transcription from the upstream site then repress transcription as the downstream site becomes occupied. Keywords: activate, transcription, repress, transcription"
57,70,GerE,sspG,"transcription, requires","nsubj(requires,transcription); 
",regulation of transcription,INO_0000032,2,sspG transcription also requires the DNA binding protein GerE.,"What is the keyword that represents the  interaction between the proteins GerE and sspG in the given sentence? sspG transcription also requires the DNA binding protein GerE. Keywords: transcription, requires"
58,71,sigmaG,sspJ,transcribed,ONE WORD,gene transcription,INO_0000173,1,"In contrast, sspJ is transcribed in the forespore compartment by RNA polymerase with the forespore-specific sigmaG and appears to give a monocistronic transcript.","What is the keyword that represents the  interaction between the proteins sigmaG and sspJ in the given sentence? In contrast, sspJ is transcribed in the forespore compartment by RNA polymerase with the forespore-specific sigmaG and appears to give a monocistronic transcript. Keywords: transcribed"
59,72,ComK,FlgM,"stimulating, transcription","dobj(stimulating,transcription)",positive regulation of gene transcription,INO_0000049,2,"ComK negatively controls the transcription of hag by stimulating the transcription of comF-flgM, thereby increasing the production of the FlgM antisigma factor that inhibits sigmaD activity.","What is the keyword that represents the  interaction between the proteins ComK and FlgM in the given sentence? ComK negatively controls the transcription of hag by stimulating the transcription of comF-flgM, thereby increasing the production of the FlgM antisigma factor that inhibits sigmaD activity. Keywords: stimulating, transcription"
60,73,ComK,hag,"negatively controls, transcription","dobj(controls, transcription); advmod(controls, negatively)",negative regulation of gene transcription,INO_0000042,2,"ComK negatively controls the transcription of hag by stimulating the transcription of comF-flgM, thereby increasing the production of the FlgM antisigma factor that inhibits sigmaD activity.","What is the keyword that represents the  interaction between the proteins ComK and hag in the given sentence? ComK negatively controls the transcription of hag by stimulating the transcription of comF-flgM, thereby increasing the production of the FlgM antisigma factor that inhibits sigmaD activity. Keywords: negatively controls, transcription"
61,74,ComK,comF,"stimulating, transcription","dobj(stimulating,transcription)",positive regulation of gene transcription,INO_0000049,2,"ComK negatively controls the transcription of hag by stimulating the transcription of comF-flgM, thereby increasing the production of the FlgM antisigma factor that inhibits sigmaD activity.","What is the keyword that represents the  interaction between the proteins ComK and comF in the given sentence? ComK negatively controls the transcription of hag by stimulating the transcription of comF-flgM, thereby increasing the production of the FlgM antisigma factor that inhibits sigmaD activity. Keywords: stimulating, transcription"
62,76,FlgM,sigmaD,"inhibit, activity","dobj(inhibits,activity)",inhibition of protein activity,INO_0000070,2,"ComK negatively controls the transcription of hag by stimulating the transcription of comF-flgM, thereby increasing the production of the FlgM antisigma factor that inhibits sigmaD activity.","What is the keyword that represents the  interaction between the proteins FlgM and sigmaD in the given sentence? ComK negatively controls the transcription of hag by stimulating the transcription of comF-flgM, thereby increasing the production of the FlgM antisigma factor that inhibits sigmaD activity. Keywords: inhibit, activity"
63,77,sigmaB,ykzA,"increase, expression, dependent",MORE THAN TWO KEYWORDS,positive regulation of gene expression,INO_0000038,3,"This stress-induced increase in ykzA expression is absolutely dependent on the alternative sigma factor sigmaB, which controls a large stationary-phase and stress regulon.","What is the keyword that represents the  interaction between the proteins sigmaB and ykzA in the given sentence? This stress-induced increase in ykzA expression is absolutely dependent on the alternative sigma factor sigmaB, which controls a large stationary-phase and stress regulon. Keywords: increase, expression, dependent"
64,78,sigma X,CsbB,"contributes, expression","nmod(contributes,expression)",gene expression regulation,INO_0000044,2,"sigma X also contributes to the expression of CsbB, a putative membrane-bound glucosyl transferase that is partially controlled by the sigma B stress response sigma factor.","What is the keyword that represents the  interaction between the proteins sigma X and CsbB in the given sentence? sigma X also contributes to the expression of CsbB, a putative membrane-bound glucosyl transferase that is partially controlled by the sigma B stress response sigma factor. Keywords: contributes, expression"
65,79,sigma B,CsbB,controlled,ONE WORD,controling,INO_0000057,1,"sigma X also contributes to the expression of CsbB, a putative membrane-bound glucosyl transferase that is partially controlled by the sigma B stress response sigma factor.","What is the keyword that represents the  interaction between the proteins sigma B and CsbB in the given sentence? sigma X also contributes to the expression of CsbB, a putative membrane-bound glucosyl transferase that is partially controlled by the sigma B stress response sigma factor. Keywords: controlled"
66,80,sigma B,nadE,"induced, dependent",-1,positive regulation of gene expression,INO_0000038,2,"Transcriptional studies showed that nadE is strongly induced in response to heat, ethanol and salt stress or after starvation for glucose in a sigma B-dependent manner.","What is the keyword that represents the  interaction between the proteins sigma B and nadE in the given sentence? Transcriptional studies showed that nadE is strongly induced in response to heat, ethanol and salt stress or after starvation for glucose in a sigma B-dependent manner. Keywords: induced, dependent"
67,81,sigma(B),YtxH,"induced, dependent",-1,positive regulation of gene expression,INO_0000038,2,"Furthermore, YtxH and YvyD seemed to be induced after phosphate starvation in the wild type in a sigma(B)-dependent manner and in the sigB mutant probably via sigma(H).","What is the keyword that represents the  interaction between the proteins sigma(B) and YtxH in the given sentence? Furthermore, YtxH and YvyD seemed to be induced after phosphate starvation in the wild type in a sigma(B)-dependent manner and in the sigB mutant probably via sigma(H). Keywords: induced, dependent"
68,82,sigma(B),YvyD,"induced, dependent",-1,positive regulation of gene expression,INO_0000038,2,"Furthermore, YtxH and YvyD seemed to be induced after phosphate starvation in the wild type in a sigma(B)-dependent manner and in the sigB mutant probably via sigma(H).","What is the keyword that represents the  interaction between the proteins sigma(B) and YvyD in the given sentence? Furthermore, YtxH and YvyD seemed to be induced after phosphate starvation in the wild type in a sigma(B)-dependent manner and in the sigB mutant probably via sigma(H). Keywords: induced, dependent"
69,83,sigma(H),YtxH,"induced, via",-1,induction,INO_0000122,2,"Furthermore, YtxH and YvyD seemed to be induced after phosphate starvation in the wild type in a sigma(B)-dependent manner and in the sigB mutant probably via sigma(H).","What is the keyword that represents the  interaction between the proteins sigma(H) and YtxH in the given sentence? Furthermore, YtxH and YvyD seemed to be induced after phosphate starvation in the wild type in a sigma(B)-dependent manner and in the sigB mutant probably via sigma(H). Keywords: induced, via"
70,84,sigma(H),YvyD,"induced, via",-1,induction,INO_0000122,2,"Furthermore, YtxH and YvyD seemed to be induced after phosphate starvation in the wild type in a sigma(B)-dependent manner and in the sigB mutant probably via sigma(H).","What is the keyword that represents the  interaction between the proteins sigma(H) and YvyD in the given sentence? Furthermore, YtxH and YvyD seemed to be induced after phosphate starvation in the wild type in a sigma(B)-dependent manner and in the sigB mutant probably via sigma(H). Keywords: induced, via"
71,86,ComK,sigmaD,"preventing, transcription","dobj(preventing,transcription)",inhibition of gene transcription,INO_0000046,2,"From these results we conclude that ComK negatively regulates degR expression by preventing sigmaD-driven transcription of degR, possibly through interaction with the control region.","What is the keyword that represents the  interaction between the proteins ComK and sigmaD in the given sentence? From these results we conclude that ComK negatively regulates degR expression by preventing sigmaD-driven transcription of degR, possibly through interaction with the control region. Keywords: preventing, transcription"
72,87,ComK,degR,"negatively regulates, expression","dobj(regulates,expression)",negative regulation of gene expression,INO_0000039,2,"From these results we conclude that ComK negatively regulates degR expression by preventing sigmaD-driven transcription of degR, possibly through interaction with the control region.","What is the keyword that represents the  interaction between the proteins ComK and degR in the given sentence? From these results we conclude that ComK negatively regulates degR expression by preventing sigmaD-driven transcription of degR, possibly through interaction with the control region. Keywords: negatively regulates, expression"
73,88,ComK,degR,"preventing, transcription","dobj(preventing,transcription)",inhibition of gene transcription,INO_0000046,2,"From these results we conclude that ComK negatively regulates degR expression by preventing sigmaD-driven transcription of degR, possibly through interaction with the control region.","What is the keyword that represents the  interaction between the proteins ComK and degR in the given sentence? From these results we conclude that ComK negatively regulates degR expression by preventing sigmaD-driven transcription of degR, possibly through interaction with the control region. Keywords: preventing, transcription"
74,89,sigmaD,degR,"driven, transcription","amod(transcription, sigmaD-driven)",positive regulation of gene transcription,INO_0000049,2,"From these results we conclude that ComK negatively regulates degR expression by preventing sigmaD-driven transcription of degR, possibly through interaction with the control region.","What is the keyword that represents the  interaction between the proteins sigmaD and degR in the given sentence? From these results we conclude that ComK negatively regulates degR expression by preventing sigmaD-driven transcription of degR, possibly through interaction with the control region. Keywords: driven, transcription"
75,90,sigmaD,degR,"transcription, driven","nsubjpass(driven,transcription)",positive regulation of gene transcription,INO_0000049,2,"We have shown previously that the transcription of degR is driven by an alternative sigma factor, sigmaD.","What is the keyword that represents the  interaction between the proteins sigmaD and degR in the given sentence? We have shown previously that the transcription of degR is driven by an alternative sigma factor, sigmaD. Keywords: transcription, driven"
76,91,SpoIIID,cotC,binds,ONE WORD,direct interaction,MI_0407,1,"DNase I footprinting showed that SpoIIID binds strongly to two sites in the cotC promoter region, binds weakly to one site in the cotX promoter, and does not bind specifically to cotB.","What is the keyword that represents the  interaction between the proteins SpoIIID and cotC in the given sentence? DNase I footprinting showed that SpoIIID binds strongly to two sites in the cotC promoter region, binds weakly to one site in the cotX promoter, and does not bind specifically to cotB. Keywords: binds"
77,92,SpoIIID,cotX,binds,ONE WORD,direct interaction,MI_0407,1,"DNase I footprinting showed that SpoIIID binds strongly to two sites in the cotC promoter region, binds weakly to one site in the cotX promoter, and does not bind specifically to cotB.","What is the keyword that represents the  interaction between the proteins SpoIIID and cotX in the given sentence? DNase I footprinting showed that SpoIIID binds strongly to two sites in the cotC promoter region, binds weakly to one site in the cotX promoter, and does not bind specifically to cotB. Keywords: binds"
78,93,SpoIIID,cotB,bind,ONE WORD,direct interaction,MI_0407,1,"DNase I footprinting showed that SpoIIID binds strongly to two sites in the cotC promoter region, binds weakly to one site in the cotX promoter, and does not bind specifically to cotB.","What is the keyword that represents the  interaction between the proteins SpoIIID and cotB in the given sentence? DNase I footprinting showed that SpoIIID binds strongly to two sites in the cotC promoter region, binds weakly to one site in the cotX promoter, and does not bind specifically to cotB. Keywords: bind"
79,94,sigma(K),cotB,transcription,ONE WORD,gene transcription,INO_0000173,1,"Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE.","What is the keyword that represents the  interaction between the proteins sigma(K) and cotB in the given sentence? Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE. Keywords: transcription"
80,96,sigma(K),cotX,transcription,ONE WORD,gene transcription,INO_0000173,1,"Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE.","What is the keyword that represents the  interaction between the proteins sigma(K) and cotX in the given sentence? Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE. Keywords: transcription"
81,97,GerE,cotB,"transcription, activated","nsubjpass(activated,transcription)",activation of gene transcription,INO_0000051,2,"Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE.","What is the keyword that represents the  interaction between the proteins GerE and cotB in the given sentence? Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE. Keywords: transcription, activated"
82,98,GerE,cotC,"transcription ,activated","nsubjpass(activated,transcription)",activation of gene transcription,INO_0000051,2,"Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE.","What is the keyword that represents the  interaction between the proteins GerE and cotC in the given sentence? Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE. Keywords: transcription ,activated"
83,99,GerE,cotX,"transcription, activated","nsubjpass(activated,transcription)",activation of gene transcription,INO_0000051,2,"Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE.","What is the keyword that represents the  interaction between the proteins GerE and cotX in the given sentence? Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE. Keywords: transcription, activated"
84,100,GerE,cot,"gene expression, action",-1,gene expression regulation,INO_0000044,2,"In vitro transcription experiments suggest that the differential pattern of cot gene expression results from the combined action of GerE and another transcription factor, SpoIIID.","What is the keyword that represents the  interaction between the proteins GerE and cot in the given sentence? In vitro transcription experiments suggest that the differential pattern of cot gene expression results from the combined action of GerE and another transcription factor, SpoIIID. Keywords: gene expression, action"
85,102,GerE,sigma(K),"low concentration, activated, transcription",MORE THAN TWO KEYWORDS,regulation of transcription,INO_0000032,3,"A low concentration of GerE activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC.","What is the keyword that represents the  interaction between the proteins GerE and sigma(K) in the given sentence? A low concentration of GerE activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC. Keywords: low concentration, activated, transcription"
86,103,GerE,cotB,"low concentration, activated, transcription",MORE THAN TWO KEYWORDS,activation of gene transcription by low level protein,INO_0000052,3,"A low concentration of GerE activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC.","What is the keyword that represents the  interaction between the proteins GerE and cotB in the given sentence? A low concentration of GerE activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC. Keywords: low concentration, activated, transcription"
87,104,GerE,cotX,"activate, transcription","amod(transcription, activate)",activation of gene transcription,INO_0000051,2,"A low concentration of GerE activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC.","What is the keyword that represents the  interaction between the proteins GerE and cotX in the given sentence? A low concentration of GerE activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC. Keywords: activate, transcription"
88,106,sigma(K),cotB,"activated, transcription","dobj(activated,transcription)",activation of gene transcription,INO_0000051,2,"A low concentration of GerE activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC.","What is the keyword that represents the  interaction between the proteins sigma(K) and cotB in the given sentence? A low concentration of GerE activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC. Keywords: activated, transcription"
89,107,SpoIIID,cotC,"repressed, transcription","dobj(repressed,transcription)",inhibition of gene transcription,INO_0000046,2,"SpoIIID at low concentration repressed cotC transcription, whereas a higher concentration only partially repressed cotX transcription and had little effect on cotB transcription.","What is the keyword that represents the  interaction between the proteins SpoIIID and cotC in the given sentence? SpoIIID at low concentration repressed cotC transcription, whereas a higher concentration only partially repressed cotX transcription and had little effect on cotB transcription. Keywords: repressed, transcription"
90,108,SpoIIID,cotX,"repressed, transcription","dobj(repressed,transcription)",inhibition of gene transcription,INO_0000046,2,"SpoIIID at low concentration repressed cotC transcription, whereas a higher concentration only partially repressed cotX transcription and had little effect on cotB transcription.","What is the keyword that represents the  interaction between the proteins SpoIIID and cotX in the given sentence? SpoIIID at low concentration repressed cotC transcription, whereas a higher concentration only partially repressed cotX transcription and had little effect on cotB transcription. Keywords: repressed, transcription"
91,109,SpoIIID,cotB,"repressed, transcription","dobj(repressed,transcription)",inhibition of gene transcription,INO_0000046,2,"SpoIIID at low concentration repressed cotC transcription, whereas a higher concentration only partially repressed cotX transcription and had little effect on cotB transcription.","What is the keyword that represents the  interaction between the proteins SpoIIID and cotB in the given sentence? SpoIIID at low concentration repressed cotC transcription, whereas a higher concentration only partially repressed cotX transcription and had little effect on cotB transcription. Keywords: repressed, transcription"
92,110,sigmaA,kdgR,"dependent, promoter","amod(promoter, sigmaA-dependent)",promoter-based regulation of transcription,INO_0000079,2,Primer extension experiments and Northern blot analysis show that an active sigmaA-dependent promoter precedes kdgR and transcription is terminated at the putative p-independent terminator downstream of kdgT.,"What is the keyword that represents the  interaction between the proteins sigmaA and kdgR in the given sentence? Primer extension experiments and Northern blot analysis show that an active sigmaA-dependent promoter precedes kdgR and transcription is terminated at the putative p-independent terminator downstream of kdgT. Keywords: dependent, promoter"
93,111,sigmaW,sigW,"dependent, promoter, precedes",MORE THAN TWO KEYWORDS,promoter-based regulation of transcription,INO_0000079,3,"A sigmaW-dependent promoter (PW) precedes sigW, demonstrating that this transcription factor is positively autoregulated.","What is the keyword that represents the  interaction between the proteins sigmaW and sigW in the given sentence? A sigmaW-dependent promoter (PW) precedes sigW, demonstrating that this transcription factor is positively autoregulated. Keywords: dependent, promoter, precedes"
94,112,sigma(A),sigX,"recognize, promoter ",-1,promoter-based regulation of transcription,INO_0000079,2,"We overproduced and purified sigma(X) from Escherichia coli and demonstrate that in vitro, both sigma(A) and sigma(X) holoenzymes recognize promoter elements within the sigX-ypuN control region.","What is the keyword that represents the  interaction between the proteins sigma(A) and sigX in the given sentence? We overproduced and purified sigma(X) from Escherichia coli and demonstrate that in vitro, both sigma(A) and sigma(X) holoenzymes recognize promoter elements within the sigX-ypuN control region. Keywords: recognize, promoter "
95,113,sigma(A),ypuN,"recognize, promoter ",-1,promoter-based regulation of transcription,INO_0000079,2,"We overproduced and purified sigma(X) from Escherichia coli and demonstrate that in vitro, both sigma(A) and sigma(X) holoenzymes recognize promoter elements within the sigX-ypuN control region.","What is the keyword that represents the  interaction between the proteins sigma(A) and ypuN in the given sentence? We overproduced and purified sigma(X) from Escherichia coli and demonstrate that in vitro, both sigma(A) and sigma(X) holoenzymes recognize promoter elements within the sigX-ypuN control region. Keywords: recognize, promoter "
96,114,sigma(X),sigX,"recognize, promoter ",-1,promoter-based regulation of transcription,INO_0000079,2,"We overproduced and purified sigma(X) from Escherichia coli and demonstrate that in vitro, both sigma(A) and sigma(X) holoenzymes recognize promoter elements within the sigX-ypuN control region.","What is the keyword that represents the  interaction between the proteins sigma(X) and sigX in the given sentence? We overproduced and purified sigma(X) from Escherichia coli and demonstrate that in vitro, both sigma(A) and sigma(X) holoenzymes recognize promoter elements within the sigX-ypuN control region. Keywords: recognize, promoter "
97,116,PhoP~P,tagA,"repress, transcription","dobj(repress,transcription)",inhibition of gene transcription,INO_0000046,2,The results indicate that PhoP~P is sufficient to repress the transcription of the tagA and tagD promoters and also to activate the transcription of the tuaA promoter.,"What is the keyword that represents the  interaction between the proteins PhoP~P and tagA in the given sentence? The results indicate that PhoP~P is sufficient to repress the transcription of the tagA and tagD promoters and also to activate the transcription of the tuaA promoter. Keywords: repress, transcription"
98,117,PhoP~P,tagD,"repress, transcription","dobj(repress,transcription)",inhibition of gene transcription,INO_0000046,2,The results indicate that PhoP~P is sufficient to repress the transcription of the tagA and tagD promoters and also to activate the transcription of the tuaA promoter.,"What is the keyword that represents the  interaction between the proteins PhoP~P and tagD in the given sentence? The results indicate that PhoP~P is sufficient to repress the transcription of the tagA and tagD promoters and also to activate the transcription of the tuaA promoter. Keywords: repress, transcription"
99,118,PhoP~P,tuaA,"activate, transcription","dobj(activate,transcription)",activation of gene transcription,INO_0000051,2,The results indicate that PhoP~P is sufficient to repress the transcription of the tagA and tagD promoters and also to activate the transcription of the tuaA promoter.,"What is the keyword that represents the  interaction between the proteins PhoP~P and tuaA in the given sentence? The results indicate that PhoP~P is sufficient to repress the transcription of the tagA and tagD promoters and also to activate the transcription of the tuaA promoter. Keywords: activate, transcription"
